AREA,PROVINCE,YEAR,GDP
HN,广东,2017,89705.23
HD,江苏,2017,85869.76
HD,山东,2017,72634.15
HD,浙江,2017,51768.26
HZ,河南,2017,44552.83
XN,四川,2017,36980.22
HZ,湖北,2017,35478.09
HB,河北,2017,34016.32
HZ,湖南,2017,33902.96
HD,福建,2017,32182.09
HD,上海,2017,30632.99
HB,北京,2017,28014.94
HD,安徽,2017,27018
DB,辽宁,2017,23409.24
XB,陕西,2017,21898.81
HD,江西,2017,20006.31
XN,重庆,2017,19424.73
HB,天津,2017,18549.19
HN,广西,2017,18523.26
XN,云南,2017,16376.34
HB,内蒙古,2017,16096.21
DB,黑龙江,2017,15902.68
HB,陕西,2017,15528.42
DB,吉林,2017,14944.53
XN,贵州,2017,13540.83
XB,新疆,2017,10881.96
XB,甘肃,2017,7459.9
HN,海南,2017,4462.54
XB,宁夏,2017,3443.56
XB,青海,2017,2624.83
XN,西藏,2017,1310.92
